year,type,use_case,stock_units,stock_lo,stock_hi
2019,T1,U1,887826.386396565,491117.8241683049,1394639.4757447592
2019,T1,U2,46727.70454718764,10913.729425962332,142310.15058619992
2019,T2,U1,90098.0174940587,33846.593739878874,190839.38191060664
2019,T2,U2,80087.12666138551,28205.4947832324,174936.10008472274
2019,T2,U4,30032.67249801957,5641.09895664648,79516.40912941942
2019,T3,U1,488648.8881295801,196754.10923712837,908654.4498999198
2019,T3,U2,439783.99931662215,168646.37934611007,838757.9537537722
2019,T3,U3,48864.888812958015,11243.091956407337,139792.99229229538
2019,T4,U1,52556.147632036686,16325.721054338279,145107.9985657027
2019,T4,U2,126134.75431688805,48977.16316301483,272077.49731069256
2019,T4,U3,31533.688579222013,8707.051228980414,90692.49910356419
2019,T5,U3,246119.92209871535,108550.30572242696,444114.22866153065
2019,T5,U4,43432.92742918507,11553.22319897316,120743.78922412518
2019,T6,U2,49378.87990215008,11861.588249241018,119281.94953772267
2019,T6,U3,160481.3596819877,59307.94124620508,298204.8738443067
2019,T6,U4,37034.159926612556,9489.270599392814,99401.62461476891
2019,T7,U1,200131.05835276455,86841.5937653344,380588.16988200514
2019,T7,U2,50032.76458819114,13360.245194666832,148006.51050966865
2020,T1,U1,966147.7873866371,568215.6229693828,1475120.9743030726
2020,T1,U2,50849.88354666511,12627.013843764063,150522.54839827266
2020,T2,U1,107524.33828663516,41541.15152162271,221807.42924083152
2020,T2,U2,95577.18958812013,34617.62626801893,203323.47680409558
2020,T2,U4,35841.44609554505,6923.525253603786,92419.76218367979
2020,T3,U1,509485.80423632264,210024.6525420454,940926.9687409651
2020,T3,U2,458537.2238126904,180021.13075032458,868547.9711455062
2020,T3,U3,50948.580423632266,12001.408716688307,144757.99519091772
2020,T4,U1,53535.596384573575,17049.045396653724,146275.6594454399
2020,T4,U2,128485.43132297655,51147.13618996117,274266.86146019987
2020,T4,U3,32121.35783074414,9092.824211548652,91422.28715339996
2020,T5,U3,235645.79485822903,103899.97228034778,425342.0253124315
2020,T5,U4,41584.552033805114,11033.794896667803,115698.26832289298
2020,T6,U2,48016.44137290265,11541.016934822019,116477.1071810565
2020,T6,U3,156053.4344619336,57705.08467411009,291192.76795264124
2020,T6,U4,36012.33102967698,9232.813547857613,97064.25598421374
2020,T7,U1,223818.06911580902,100220.43148223861,418120.9206121991
2020,T7,U2,55954.517278952255,15418.5279203444,162602.58023807744
2021,T1,U1,1138633.7088605126,717460.7804011042,1678249.418449593
2021,T1,U2,59928.08994002697,15943.572897802314,171249.94065812178
2021,T2,U1,152128.0042397757,60800.208625515,303326.8117910896
2021,T2,U2,135224.89265757843,50666.8405212625,278049.5774751655
2021,T2,U4,50709.33474659191,10133.3681042525,126386.17157962066
2021,T3,U1,548736.7554964102,232785.55194847187,1004687.009551371
2021,T3,U2,493863.0799467692,199530.47309869016,927403.3934320346
2021,T3,U3,54873.675549641026,13302.031539912678,154567.23223867247
2021,T4,U1,55958.90610175169,18399.13571091857,150776.23619013015
2021,T4,U2,134301.37464420407,55197.4071327557,282705.44285649405
2021,T4,U3,33575.34366105102,9812.87237915657,94235.14761883134
2021,T5,U3,222836.54727998233,98132.17842840763,402720.5032059464
2021,T5,U4,39324.096578820405,10325.728415838423,109771.85129543678
2021,T6,U2,42998.6642242396,8958.14672647911,108105.35469114152
2021,T6,U3,139745.65872877874,49859.08756427055,263224.0062669163
2021,T6,U4,32248.998168179703,7098.939328758288,90181.65398209711
2021,T7,U1,272961.05812593596,127004.58186133234,498346.2533449262
2021,T7,U2,68240.26453148399,19539.166440204972,193801.32074524908
2022,T1,U1,1175562.293409159,764067.1589217063,1703276.8574496587
2022,T1,U2,61871.699653113625,16979.270198260136,173803.7609642509
2022,T2,U1,189441.7290557338,76992.00749238407,371106.5937717382
2022,T2,U2,168392.64804954117,64160.00624365339,340181.04429076
2022,T2,U4,63147.24301857793,12832.00124873068,154627.7474048909
2022,T3,U1,573018.140127846,248344.79014125734,1042168.3593794076
2022,T3,U2,515716.32611506147,212866.96297822063,962001.5625040685
2022,T3,U3,57301.814012784605,14191.130865214709,160333.59375067806
2022,T4,U1,57075.70748865221,19242.558672674557,152039.21073927026
2022,T4,U2,136981.6979727653,57727.676018023674,285073.52013613173
2022,T4,U3,34245.42449319133,10262.697958759765,95024.50671204389
2022,T5,U3,208815.34320333507,91860.1442700012,377786.031356242
2022,T5,U4,36849.766447647366,9588.105774026677,103159.30447975807
2022,T6,U2,44555.285656805245,9373.521309773081,114856.0724123021
2022,T6,U3,144804.67838461706,51935.24546599851,280101.7936458482
2022,T6,U4,33416.464242603935,7431.2485289233555,95807.23884205053
2022,T7,U1,286085.3761005654,135062.68667301562,517578.5970508292
2022,T7,U2,71521.34402514136,20778.87487277163,201280.56551976688
2023,T1,U1,1201210.4787273498,801619.4259423703,1714129.9778440136
2023,T1,U2,63221.604143544726,17813.765020941566,174911.22222898097
2023,T2,U1,258341.79797618598,106598.9201131573,497770.6986429844
2023,T2,U2,229637.15375660977,88832.4334276311,456289.8070894023
2023,T2,U4,86113.93265872865,17766.48668552622,207404.45776791012
2023,T3,U1,599214.5482909146,265021.31027683744,1082751.4981041714
2023,T3,U2,539293.0934618232,227161.12309443209,999462.9213269274
2023,T3,U3,59921.45482909146,15144.07487296214,166577.15355448792
2023,T4,U1,58308.98367859236,20151.889317472876,153514.77551577633
2023,T4,U2,139941.56082862167,60455.667952418626,287840.20409208065
2023,T4,U3,34985.39020715542,10747.674302652198,95946.73469736021
2023,T5,U3,192879.4626168557,84673.02690364102,349690.427202786
2023,T5,U4,34037.55222650394,8696.870883656224,95820.91451472616
2023,T6,U2,46935.67412767581,9998.540113600651,124361.83979888944
2023,T6,U3,152540.9409149464,55055.337205513126,303873.1597229043
2023,T6,U4,35201.75559575687,7931.330269047057,103728.61902939879
2023,T7,U1,276355.98280623043,131245.7407680037,498095.2360175633
2023,T7,U2,69088.99570155761,20191.65242584673,193703.70289571903
2024,T1,U1,1241709.505353994,849423.5022781644,1745745.4079858423
2024,T1,U2,65353.13186073654,18876.077828403653,178137.28652916758
2024,T2,U1,306086.8291293305,127234.648633051,584926.3481661138
2024,T2,U2,272077.1814482938,106028.87386087584,536182.4858189378
2024,T2,U4,102028.94304311015,21205.77477217517,243719.3117358808
2024,T3,U1,623537.3094761738,280837.1461151171,1119991.504321328
2024,T3,U2,561183.5785285565,240717.55381295754,1033838.3116812255
2024,T3,U3,62353.73094761738,16047.836920863836,172306.38528020427
2024,T4,U1,59368.210643959654,20998.030125315534,154543.24438528568
2024,T4,U2,142483.70554550318,62994.090375946595,289768.58322241064
2024,T4,U3,35620.926386375795,11198.949400168285,96589.52774080355
2024,T5,U3,178780.0307388736,78473.00669549551,323973.9579001121
2024,T5,U4,31549.41718921299,8036.206844376455,88831.14699119945
2024,T6,U2,47298.53021694158,10123.557707763604,127705.69580081519
2024,T6,U3,153720.22320506015,55666.87243652833,312251.62297744036
2024,T6,U4,35473.89766270619,8031.525047574745,106514.9147210073
2024,T7,U1,321248.97390838515,155993.63073741287,570703.8092863918
2024,T7,U2,80312.24347709629,23999.020113448132,221940.37027804126
2025,T1,U1,1225391.2921148222,852785.3757329334,1704503.9481186233
2025,T1,U2,64494.27853235908,18950.786127398525,173928.9742978187
2025,T2,U1,323472.2093618732,134983.26492830584,615448.2321315173
2025,T2,U2,287530.8527661095,112486.05410692154,564160.8794538908
2025,T2,U4,107824.06978729105,22497.21082138431,256436.76338813215
2025,T3,U1,645817.6620670554,295615.6351331443,1153718.7698981725
