month,type,units_central,units_p10,units_p90,value_gbp,net_mass_kg,estimator,confidence,import_units_central
2019-01-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-2088208.1999999997,302.2500000000002,vpk_threshold,0.9,0.0
2019-01-01,EDGE_MONITOR,0.0,0.0,0.0,-725574.5250000001,-1429.3500000000681,cn_rule,1.0,0.0
2019-01-01,SATELLITE,0.0,0.0,0.0,3851241.2249999996,1033617.975,value_index_only,1.0,0.0
2019-01-01,T1,34194.67767857143,27355.742142857143,43520.49886363636,3756029.5500000003,957450.9750000001,vpk_threshold,0.8407124306516196,37982.83125
2019-01-01,T2,-1078.4892857142859,-686.311363636364,-1509.885,-674907.6750000002,-37747.124999999985,cn_rule,0.9000000000000001,3330.2657142857142
2019-01-01,T3,10048.7570625,7145.782799999999,13398.34275,2604264.1559999995,321560.226,prior_allocation,0.4000000000000001,10326.7490625
2019-01-01,T4,1667.3493200000003,1136.8290818181817,2501.02398,1012769.3940000001,125051.199,prior_allocation,0.4,1713.4754000000003
2019-01-01,T5,-0.2220833333333334,-0.11421428571428571,-0.3331250000000001,-16658.85,-39.97500000000002,vpk_threshold,0.9434445488271215,0.9966666666666666
2019-01-01,T6,151.7685,75.88425,316.18437500000005,577816.2000000001,37942.125,vpk_threshold,0.7178892065667759,309.0594
2019-01-01,T7,4847.970833333333,3116.5526785714283,7271.956250000001,6221747.999999999,436317.37499999994,cn_rule,0.9000000000000001,5605.4591666666665
2019-01-01,UNALLOCATED,0.0,0.0,0.0,-3887445.9,-456424.80000000005,vpk_threshold,0.0,0.0
2019-02-01,EDGE_AIRCRAFT,0.0,0.0,0.0,285477.075,1324.0500000000004,vpk_threshold,0.9,0.0
2019-02-01,EDGE_MONITOR,0.0,0.0,0.0,-1046412.9000000001,-64448.475000000035,cn_rule,1.0,0.0
2019-02-01,SATELLITE,0.0,0.0,0.0,4169769.8249999993,1178459.0999999999,value_index_only,1.0,0.0
2019-02-01,T1,11219.708035714284,8975.766428571429,14279.62840909091,1330221.75,314151.825,vpk_threshold,0.7588829011417709,19364.405357142856
2019-02-01,T2,7313.670000000001,4654.153636363636,10239.137999999999,683029.4249999999,255978.44999999998,cn_rule,0.9,9366.100714285714
2019-02-01,T3,5292.641250000001,3763.656,7056.855,1147106.6099999999,169364.52000000002,prior_allocation,0.4000000000000001,5860.9760625
2019-02-01,T4,878.1864,598.7634545454546,1317.2795999999998,446097.015,65863.98000000001,prior_allocation,0.4,972.4878800000001
2019-02-01,T5,-0.6283333333333336,-0.3231428571428571,-0.9425,-2314.6500000000005,-113.1,vpk_threshold,0.8045416927258405,2.107083333333333
2019-02-01,T6,508.30260000000004,254.15130000000002,1058.9637500000003,453432.525,127075.65,vpk_threshold,0.7185678644690638,701.3175000000001
2019-02-01,T7,14902.387499999999,9580.106249999999,22353.58125,6692328.825,1341214.875,cn_rule,0.9000000000000001,15540.2975
2019-02-01,UNALLOCATED,0.0,0.0,0.0,-5295461.925000002,-608520.9,vpk_threshold,0.0,0.0
2019-03-01,EDGE_AIRCRAFT,0.0,0.0,0.0,1328088.4499999997,1322.1,vpk_threshold,0.9,0.0
2019-03-01,EDGE_MONITOR,0.0,0.0,0.0,-816724.3499999996,6805.499999999991,cn_rule,1.0,0.0
2019-03-01,SATELLITE,0.0,0.0,0.0,5750885.4,444265.763175,value_index_only,1.0,0.0
2019-03-01,T1,236.19375000000082,188.9549999999998,300.6102272727269,-539178.9,6613.425000000003,vpk_threshold,0.7746722944396789,10240.494642857142
2019-03-01,T2,1718.7857142857142,1093.772727272727,2406.3,-422136.975,60157.49999999999,cn_rule,0.8999999999999999,6283.262142857143
2019-03-01,T3,12350.856375,8782.8312,16467.8085,3629257.866,395227.404,prior_allocation,0.3999999999999999,12535.284937499999
2019-03-01,T4,2049.32728,1397.2686000000003,3073.99092,1411378.059,153699.54600000003,prior_allocation,0.4,2079.92876
2019-03-01,T5,-155.28500000000003,-79.86085714285714,-232.9275,-667233.45,-27951.3,vpk_threshold,0.6767382398999272,3.75375
2019-03-01,T6,1177.5114,588.7557,2453.14875,4121041.2750000004,294377.85000000003,vpk_threshold,0.7116113956089455,1432.9029
2019-03-01,T7,6733.739999999999,4328.8328571428565,10100.61,10540990.199999997,606036.5999999999,cn_rule,0.9,7839.747499999999
2019-03-01,UNALLOCATED,0.0,0.0,0.0,-5849449.125,-614099.85,vpk_threshold,0.0,0.0
2019-04-01,EDGE_AIRCRAFT,0.0,0.0,0.0,2058379.0499999989,16716.375,vpk_threshold,0.8999999999999999,0.0
2019-04-01,EDGE_MONITOR,0.0,0.0,0.0,-654896.7749999989,30112.875000000065,cn_rule,1.0,0.0
2019-04-01,SATELLITE,0.0,0.0,0.0,5737404.074999999,904509.4500000002,value_index_only,1.0,0.0
2019-04-01,T1,11896.775892857144,9517.420714285712,15141.351136363637,1323529.3499999999,333109.725,vpk_threshold,0.7823249786460841,21665.544642857145
2019-04-01,T2,7809.415714285715,4969.6281818181815,10933.182,1716276.8999999997,273329.55,cn_rule,0.9000000000000001,9406.688571428573
2019-04-01,T3,16178.1165,11504.438399999997,21570.822,4388867.496,517699.728,prior_allocation,0.4000000000000001,16200.580499999998
2019-04-01,T4,2684.3689600000002,1830.2515636363642,4026.5534399999997,1706781.8040000005,201327.67200000002,prior_allocation,0.4,2688.09632
2019-04-01,T5,-7.399166666666666,-3.805285714285714,-11.098750000000003,-98338.5,-1331.85,vpk_threshold,0.7291073959003163,0.31416666666666665
2019-04-01,T6,324.90899999999993,162.45449999999997,676.8937500000001,1626606.15,81227.25,vpk_threshold,0.7692809650886077,620.5211999999999
2019-04-01,T7,4014.4758333333334,2580.734464285714,6021.713749999999,5678364.899999999,361302.825,cn_rule,0.9,4942.394166666667
2019-04-01,UNALLOCATED,0.0,0.0,0.0,-1633260.5250000006,-177709.35000000006,vpk_threshold,0.0,0.0
2019-05-01,EDGE_AIRCRAFT,0.0,0.0,0.0,5043687.674999999,5639.4,vpk_threshold,0.9000000000000002,0.0
2019-05-01,EDGE_MONITOR,0.0,0.0,0.0,-528554.3249999998,36746.77499999999,cn_rule,1.0,0.0
2019-05-01,SATELLITE,0.0,0.0,0.0,4457533.2749999985,794912.6249999999,value_index_only,1.0,0.0
2019-05-01,T1,8049.39107142857,6439.512857142856,10244.679545454544,1230914.1,225382.95,vpk_threshold,0.713796806686814,21151.197321428575
2019-05-01,T2,19591.622142857144,12467.395909090908,27428.271000000004,2873588.25,685706.7749999999,cn_rule,0.9,22398.42428571428
2019-05-01,T3,11409.0795,8113.123200000001,15212.106,2597592.3479999998,365090.544,prior_allocation,0.39999999999999997,11423.73375
2019-05-01,T4,1893.06208,1290.7241454545456,2839.5931200000005,1010174.802,141979.65600000002,prior_allocation,0.4,1895.4936000000002
2019-05-01,T5,-25.030416666666664,-12.872785714285714,-37.545624999999994,-377057.85,-4505.475,vpk_threshold,0.8015195439334954,1.2295833333333333
2019-05-01,T6,644.1995625,322.09978125,1342.0824218750004,2559606.0749999997,161049.890625,vpk_threshold,0.7607794691131766,754.6226999999999
2019-05-01,T7,3071.1416666666673,1974.3053571428572,4606.712500000001,5299240.050000001,276402.74999999994,cn_rule,0.8999999999999999,3867.9874999999993
2019-05-01,UNALLOCATED,0.0,0.0,0.0,-4012091.849999999,-481281.44999999995,vpk_threshold,0.0,0.0
2019-06-01,EDGE_AIRCRAFT,0.0,0.0,0.0,806910.9750000006,5767.872825,vpk_threshold,0.9000000000000001,0.0
2019-06-01,EDGE_MONITOR,0.0,0.0,0.0,-732063.1500000007,51048.07499999997,cn_rule,1.0,0.0
2019-06-01,SATELLITE,0.0,0.0,0.0,4139405.400000001,849535.0499999999,value_index_only,1.0,0.0
