year,type,use_case,flow_units,flow_units_lo,flow_units_hi,share_prior,estimator
2022,T7,U1,24129.898,12603.56279464286,40719.202874999995,0.8,prior_allocation
2022,T7,U2,6032.4745,1939.009660714286,15835.245562499998,0.2,prior_allocation
2023,T1,U1,123243.68236607141,93405.73821428571,161808.93034090908,0.95,deterministic_assumption
2023,T1,U2,6486.509598214286,2075.6830714285716,16511.11534090909,0.05,prior_allocation
2023,T2,U1,75641.80371428572,32090.46218181818,141198.0336,0.45,prior_allocation
2023,T2,U2,67237.15885714286,26742.05181818182,129431.53080000001,0.4,prior_allocation
2023,T2,U4,25213.93457142857,5348.410363636364,58832.513999999996,0.15,prior_allocation
2023,T3,U1,61675.98693749999,30700.935719999998,106905.04402500001,0.5,prior_allocation
2023,T3,U2,55508.38824374999,26315.08776,98681.5791,0.45,prior_allocation
2023,T3,U3,6167.598693749999,1754.339184,16446.92985,0.05,prior_allocation
2023,T4,U1,5116.822620000001,2093.2456172727275,12280.374288,0.25,prior_allocation
2023,T4,U2,12280.374288,6279.736851818183,23025.70179,0.6,prior_allocation
2023,T4,U3,3070.093572,1116.3976625454548,7675.23393,0.15,prior_allocation
2023,T5,U3,-1359.3525833333333,-756.6681942857143,-1799.143125,0.85,deterministic_assumption
2023,T5,U4,-239.88574999999997,-205.61635714285714,-191.9086,0.15,prior_allocation
2023,T6,U2,5244.32532,1311.08133,16388.516625,0.2,prior_allocation
2023,T6,U3,17044.05729,6555.40665,40971.2915625,0.65,prior_allocation
2023,T6,U4,3933.24399,1048.865064,13657.0971875,0.15,prior_allocation
2023,T7,U1,2474.887999999999,1292.6870357142875,4176.373500000001,0.8,prior_allocation
2023,T7,U2,618.7219999999998,198.87492857142885,1624.1452500000003,0.2,prior_allocation
2024,T1,U1,144058.07464285713,109180.85657142857,189136.53436363634,0.95,deterministic_assumption
2024,T1,U2,7582.003928571429,2426.241257142857,19299.646363636362,0.05,prior_allocation
2024,T2,U1,55646.3115,23607.52609090909,103873.1148,0.45,prior_allocation
2024,T2,U2,49463.388000000006,19672.938409090908,95217.0219,0.4,prior_allocation
2024,T2,U4,18548.7705,3934.587681818182,43280.4645,0.15,prior_allocation
2024,T3,U1,61985.78831249999,30855.14796,107442.033075,0.5,prior_allocation
2024,T3,U2,55787.20948124999,26447.26968,99177.2613,0.45,prior_allocation
2024,T3,U3,6198.57883125,1763.151312,16529.54355,0.05,prior_allocation
2024,T4,U1,5142.52466,2103.7600881818184,12342.059184000002,0.25,prior_allocation
2024,T4,U2,12342.059184,6311.280264545456,23141.36097,0.6,prior_allocation
2024,T4,U3,3085.514796,1122.0053803636365,7713.7869900000005,0.15,prior_allocation
2024,T5,U3,1544.9097083333331,701.0514642857142,2508.20635,0.85,deterministic_assumption
2024,T5,U4,272.631125,74.77882285714286,681.5778124999999,0.15,prior_allocation
2024,T6,U2,3441.8046000000004,860.4511500000001,10755.639374999999,0.2,prior_allocation
2024,T6,U3,11185.864950000001,4302.25575,26889.098437499997,0.65,prior_allocation
2024,T6,U4,2581.35345,688.3609200000001,8963.0328125,0.15,prior_allocation
2024,T7,U1,58269.146,30435.223580357142,98329.183875,0.8,prior_allocation
2024,T7,U2,14567.2865,4682.342089285714,38239.127062499996,0.2,prior_allocation
2025,T1,U1,92432.00919642855,70053.73328571429,121355.70968181817,0.95,deterministic_assumption
2025,T1,U2,4864.842589285714,1556.7496285714285,12383.235681818182,0.05,prior_allocation
2025,T2,U1,26816.95157142857,11376.888545454543,50058.3096,0.45,prior_allocation
2025,T2,U2,23837.290285714287,9480.740454545454,45886.783800000005,0.4,prior_allocation
2025,T2,U4,8938.983857142857,1896.1480909090908,20857.629,0.15,prior_allocation
2025,T3,U1,61758.70228125,30742.109579999997,107048.4172875,0.5,prior_allocation
2025,T3,U2,55582.832053125,26350.379639999996,98813.92364999998,0.45,prior_allocation
2025,T3,U3,6175.870228125001,1756.6919759999998,16468.987275,0.05,prior_allocation
2025,T4,U1,5123.68493,2096.052925909091,12296.843832000002,0.25,prior_allocation
2025,T4,U2,12296.843832,6288.158777727273,23056.582185000003,0.6,prior_allocation
2025,T4,U3,3074.210958,1117.8948938181818,7685.527395000001,0.15,prior_allocation
2025,T5,U3,-923.4715208333332,-514.0399457142858,-1222.24171875,0.85,deterministic_assumption
2025,T5,U4,-162.96556249999998,-139.68476785714287,-130.37245,0.15,prior_allocation
2025,T6,U2,2004.50484,501.12621,6264.077625,0.2,prior_allocation
2025,T6,U3,6514.64073,2505.63105,15660.1940625,0.65,prior_allocation
2025,T6,U4,1503.37863,400.900968,5220.0646875,0.15,prior_allocation
2025,T7,U1,75096.25933333334,39224.385455357144,126724.93762499999,0.8,prior_allocation
2025,T7,U2,18774.064833333334,6034.520839285715,49281.92018749999,0.2,prior_allocation
